theme,themeurl,author,journal,jrurl,year,cites,downloads
HIV感染对肛门和阴茎人乳头瘤病毒感染率和清除率的影响:基于男男性行为人群的队列研究,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF82107EAF23A42AD5421C6736ACC00255FD17FEB587664ED8,郭静,《中华预防医学杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zhyfyx,2018,0,0
凯撒利亚城和奥古斯都港——对大希律的城市-海港的考古和文学研究,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF02533FF11BCF97348FEC2739709BBFBB7DBFAA59E6F1A0EB,杨克勤,《圣经文学研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=sjwxyj,2018,0,4
miRNA-95-3p在人结肠癌中的表达及其对结肠癌细胞SW620增殖、迁移能力的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF8D5C5194DF10F9C62473CD765BD133643F57F8094D9C5543,徐蓉,《癌症进展》,g.wanfangdata.com.cn/perio/detail.do?perio_id=azjz,2018,0,12
聚乳酸改性树脂活性包装薄膜中活性成分的释放及在三文鱼冷藏保鲜中的应用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF497F75C1644E230D6181BE97B9FB33C756008CE40DEFB31AB201677D17A0C195,杨春香,《食品安全质量检测学报》,g.wanfangdata.com.cn/perio/detail.do?perio_id=spaqzljcjs,2018,0,1
NGF联合甲钴胺对青光眼视神经的保护作用及对MMP-2、TIMP-2的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFD7F76A4A71348011780AFAE6E17ED9BDA19F488255F06FD7,李莉,《国际眼科杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=mzgjykzz,2018,0,0
支架取栓联合奥扎格雷钠治疗急性重型血栓性脑卒中的效果及对患者认知功能的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF9AA970885987492A3D06C8E552496D506CA2C4279682CE19,徐力,《广西医学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=gxyx,2018,0,61
TACE序贯二期RFA联合NA治疗Ⅰ期结节型HBV相关性肝癌的疗效及对血清学指标和HBV DNA的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF8D5C5194DF10F9C62473CD765BD13364BC20B3ACD6F63BD5,赵书元,《癌症进展》,g.wanfangdata.com.cn/perio/detail.do?perio_id=azjz,2018,0,0
全身免疫炎症指数(SⅡ)对胶质瘤患者临床预后的影响及与p53突变的关系,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFA9BF22E6EC338EDFA1753DBAE4797193C908AC74989928DF,张立志,《现代肿瘤医学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=sxzlyx,2018,0,0
中药消癥汤联合羟基喜树碱膀胱灌注预防膀胱癌术后复发的效果及对患者血清VEGF的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF8D5C5194DF10F9C62473CD765BD133642CB9F1A261E44BB8,刘兵,《癌症进展》,g.wanfangdata.com.cn/perio/detail.do?perio_id=azjz,2018,0,3
“共同缔造”理念下的村庄空间治理探索——厦门东坪山社工作坊的实践与思考,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFECD9955C271627C5BA875C3ED79E764042C1599D0B5E27B5,洪国城,《城市规划学刊》,g.wanfangdata.com.cn/perio/detail.do?perio_id=csghhk,2018,0,83
PI3K/AKT/MTOR信号通路关键信号分子在胃癌组织中的表达及与临床特征的关系,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF8D5C5194DF10F9C62473CD765BD133643271C1BD8048CBAE,刘东刚,《癌症进展》,g.wanfangdata.com.cn/perio/detail.do?perio_id=azjz,2018,0,13
正交试验分析不同作物的产量、含硒量与土壤酸碱度、硒酸盐、亚硒酸盐含量的相关性,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF6009830EAA39B2245CAD525ACE033FA0D03E2069422E8DAD,陈永波,《生物资源》,g.wanfangdata.com.cn/perio/detail.do?perio_id=ajshswzy,2018,0,28
支气管冲洗液辅助现场快速评估为阴性的肺癌进行表皮生长因子受体基因检测的临床应用价值,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF81D485AEF20F960506A60905AD3060E8732138ECFD0204FE,张新宇,《中华病理学杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zhblx,2018,0,0
天山雪莲提取物固体脂质纳米粒的制备及其有效成分芦丁和绿原酸在Caco-2细胞中的摄取,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF6E942FE58A4CFEEB54EF8DC58B2AC23A7E7025F2B3C300B7,刘桂花,《中国中医药信息杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zgzyyxxzz,2018,0,0
细胞因子及软骨工程支架对脂肪源性干细胞成软骨分化的作用、难点及内在机制,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D875F2CB5236A3B8403F4E402212D4916,刘肖男,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,0
可注射性乙二醇壳聚糖/双醛功能化聚乙二醇水凝胶的细胞相容性,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929DE2669693D862C939E95C6A9D70FEBA9E,荆晓光,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,1
骨髓间充质干细胞旁分泌:在血管生成、免疫及炎症调整方面的作用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D875F2CB5236A3B84D058192813724D31,张欣,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,0
富血小板纤维蛋白修复陈旧性负重位创伤性膝关节炎模型兔的软骨缺损,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D2D087DCCA660FE9A3271C1BD8048CBAE,邹承达,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,7
少年篮球运动员和普通中学生身体成分及骨密度比较:来源一所中学的数据,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D2D087DCCA660FE9A6CA2C4279682CE19,张元通,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,2
人体大隐静脉桥外膜戊二醛交联对其生物力学特性的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929DE2669693D862C939DE50B0080CE7B951,方颖,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,0
人脐带间充质干细胞向神经元样细胞诱导分化:两种方法的比较,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D875F2CB5236A3B841E9642472E41543A,王武,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,1
脂肪间充质干细胞来源外泌体对角质形成细胞增殖和迁移的影响与机制,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D875F2CB5236A3B84780DEB579A711DD7,田新立,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,2
注射富血小板血浆促进部分肩袖损伤的修复:基础研究与临床试验,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D2D087DCCA660FE9A99F2CDD2A3A48AC2,刘岩,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,10
补阳还五汤联合骨髓间充质干细胞移植脑缺血再灌注大鼠脑组织紧密连接蛋白的表达,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D875F2CB5236A3B84DE50B0080CE7B951,张运克,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,0
传统人文精神的失落与呼喊——论陈仓长篇四书之四长诗《醒神》,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF53299D7FA74CAA2FCB0F611DF6142C56B201677D17A0C195,余存哲,《芒种》,g.wanfangdata.com.cn/perio/detail.do?perio_id=mz,2019,0,0
胎盘间充质干细胞培养上清对CD4+T细胞和Treg细胞免疫功能的调节,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D875F2CB5236A3B8499CCAFB3AE41F369,李伟伟,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,3
聚多巴胺仿生法制备羟基磷灰石涂层及对骨髓间质干细胞生物学特性的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D875F2CB5236A3B843F57F8094D9C5543,徐炎安,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,0
血管内皮生长因子联合突变型低氧诱导因子1α的促血管生成作用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D2D087DCCA660FE9A3F57F8094D9C5543,胡亮,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,3
灾害的神话表征——“大禹治水”的景观分布及减灾表述,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF571CE034B12F6642881F092715342AF02ADDB5D5EF37F86E,张多,《民俗研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=minsyj,2018,0,7
基于条形码技术的手术室高值耗材的全流程管理,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF5FA860998C2D553A80ADC1AD2E4FCA44B6F354066E8D0EC5,厉励,《中国医疗器械杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zgylqxzz,2018,0,0
东亚主导下的亚洲城市体系——基于城市竞争力的分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFB56229E75B7CD3FDB5E07D394865882F3A56851B09821FA7B7C6438E2DCAB156,曹清峰,《北京工业大学学报（社会科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=bjgydxxb-shkx,2018,0,2
鼓室内注射地塞米松治疗伴眩晕的全聋型突发性聋的疗效分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF46B620866E6347866BE429113DFA072573732A902AE74B40B201677D17A0C195,张志坚,《听力学及言语疾病杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=tlxjyyjbzz,2018,0,0
文本分析的新工具:以主题模型的可视化为例,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFB97522AAD8EDD52D453341E808E8700FF227262109DC92A69E14A0F7720F1707,王涛,《云南大学学报（社会科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=yndxxb-zxshkxb,2018,0,0
《马丁·路德年谱》的编撰与中西史学融合的路径,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFB97522AAD8EDD52D453341E808E8700FF227262109DC92A6A6B0812E3DC3D930,林纯洁,《云南大学学报（社会科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=yndxxb-zxshkxb,2018,0,0
基于客观结构化临床考试研究的SCI文献的文献计量学分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF8CC3336F082491B76711D6983FBCD24ADBDD3957879A24C4,刘小平,《中华医学教育杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=yixjy,2018,0,1
不同参数的超声对脂多糖诱导人系膜细胞增殖的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF226EE32ADD3108585157B1407C8AE72FB4123DC9A0D382BB,孙彭菲,《西安交通大学学报（医学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xaykdxxb,2018,0,12
除草剂阿特拉津的免疫毒性及其对大鼠免疫功能的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF15FDF50E88214AC05125B699094AFF022ADE59978FDF180D,赵菁,《吉林大学学报（医学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=bqeykdxxb,2018,0,1
RhoA/ROCK通路在肺动脉高压中的作用及抑制剂的临床研究进展,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF050C3E7D86B2A0772A2F977384BBE54F3574421DAF4498E9,吴珊珊,《心血管病学进展》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xxgbxjz,2018,0,1
两种自由意志的实践民俗学——民俗学的知识谱系与概念间逻辑,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF571CE034B12F6642881F092715342AF0DB67B5B30EFE825E,吕微,《民俗研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=minsyj,2018,0,1
基于相对熵的睡眠呼吸暂停低通气综合征的自动诊断,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF5FA860998C2D553A519F08C0F8F0CAA16274BEC1BB394EAA,贾子锐,《中国眼耳鼻喉科杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zgyebhkzz,2018,0,0
靶向CIP2A的shRNA对人肠癌细胞生物学特征的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFF92361E32BB3304A5157B1407C8AE72F8E7DFD109768F797,陈伟,《中山大学学报（医学科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zsykdxxb,2018,0,0
世界的毁灭与重生:中国神话中的自然灾害,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF571CE034B12F6642881F092715342AF00C1EFF74A740CF41,杨利慧,《民俗研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=minsyj,2018,0,4
Rh血型抗-G抗体的综合鉴定方法的建立及初步应用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF8B19F80D4D119DE2C275B4790B0CD0F795ADAD2BDDED26D6,沈茜,《临床输血与检验》,g.wanfangdata.com.cn/perio/detail.do?perio_id=lcsxyjy,2018,0,2
水曲柳FmMUR5基因的克隆及表达模式的分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF2EE78C99AE08C0B841BBFA15620BBB4E3271C1BD8048CBAE,王恒涛,《植物研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zwyj,2018,0,0
Maroteaux-Lamy综合征的ARSB基因分析及新突变的 致病性鉴定,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFF92361E32BB3304A5157B1407C8AE72F12A75875D318415A,郭东炜,《中山大学学报（医学科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zsykdxxb,2018,0,0
MicroRNAs介导的代谢调节与心力衰竭相关的研究进展,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF050C3E7D86B2A0772A2F977384BBE54F70A7DF22B28EAC34,郭美姿,《心血管病学进展》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xxgbxjz,2018,0,0
功能性便秘的发病机制及中西医治疗与离子通道关系的研究进展,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF19C3829A9788E2A6C3DEECACFE186FE8723B248E5F2D2123,苏静,《东南国防医药》,g.wanfangdata.com.cn/perio/detail.do?perio_id=njbdyy,2018,0,6
射血分数保留的心力衰竭患者左室充盈压的超声评估,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF050C3E7D86B2A0772A2F977384BBE54F83D790CE65681DDA,王淑珍,《心血管病学进展》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xxgbxjz,2018,0,0
恩施川续断根的含硒量及其与土壤性质的关系,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF243B659732323190F96E9A380863D6A79E14A0F7720F1707,万佐玺,《湖北大学学报（自然科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=hbdxxb,2018,0,1
黄连素对脂多糖诱导的小鼠急性肺损伤和炎症的改善作用及其机制,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF15FDF50E88214AC05125B699094AFF028B83DB7CFD21A1E3,池明,《吉林大学学报（医学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=bqeykdxxb,2018,0,1
"关于""以哲学史为中心的思想史研究""的再思考",g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF982533A66C9BE0403DD1A8F861FEEBEA051ED92D03CD6477,李维武,《中国高校社会科学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zggxshkx,2018,0,0
二甲双胍介导的增强CD8阳性T细胞肿瘤浸润与增加的肿瘤灌注的相关性,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF226EE32ADD3108585157B1407C8AE72F9E147FC8822E631D,王吉昌,《西安交通大学学报（医学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xaykdxxb,2018,0,10
转折性变化历史性提升——国外政党眼中中国改革开放以来党的建设,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFC72741540DB16FCDF142A73250781D2589088D4648827510,中共中央对外联络部研究室、机关党委课题组,《当代世界》,g.wanfangdata.com.cn/perio/detail.do?perio_id=dangdsj,2018,0,1
"""探究种子萌发的条件""实验教学设计",g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFAB920B81A08DAB2C1153DD3F0A2CA7680575D20A08B916AF,韩爱兰,《生物学教学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=swxjx,2018,0,2
Madelung病的研究进展,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF3E73CB2C1753B1D80A910615EED6CA7E48E1D5710AF5BE6F,陈春野,《中华整形外科杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zhzxsswk,2018,0,47
法治是民主的基石,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF982533A66C9BE0403DD1A8F861FEEBEA8E7DFD109768F797,何家弘,《中国高校社会科学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zggxshkx,2018,0,0
上皮-间质转化胶质瘤细胞的干细胞样特性及白藜芦醇对其干细胞样特性的抑制作用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF15FDF50E88214AC05125B699094AFF02B3EA13B34EFDD628,赵丽艳,《吉林大学学报（医学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=bqeykdxxb,2018,0,1
肺腺癌的能谱CT参数与肿瘤浸润性及Ki-67表达的相关性研究,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF6DB1DE21660947D280C5211FC1C3DB9066D1B2B62DFAA65C2D07D8A332ED6679,朱慧,《国际医学放射学杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=gwyx-lcfsxfc,2018,0,2
中产阶层“不可统计”的生活经验——民族志书写城市的新路径和可能性,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF571CE034B12F6642881F092715342AF0A75F71889929612F,马丹丹,《民俗研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=minsyj,2018,0,2
克服ATP结合盒药物转运泵介导的肿瘤多药抗药性的研究进展,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFF92361E32BB3304A5157B1407C8AE72F1639936085260D78,符立梧,《中山大学学报（医学科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zsykdxxb,2018,0,0
胰岛素剂量调整在接受胰岛素泵治疗的2型糖尿病患者血糖控制中的应用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF15FDF50E88214AC05125B699094AFF023BD2A635CB74FD05,董学美,《吉林大学学报（医学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=bqeykdxxb,2018,0,2
海藻糖氧钒对小鼠胃肠道的氧化损伤以及Vc和GSH的抗氧化保护作用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF226EE32ADD3108585157B1407C8AE72F6C45AD962D432E9F,魏倩,《西安交通大学学报（医学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xaykdxxb,2018,0,5
基于多模式麻醉方式的加速康复外科理念应用于腹腔镜膀胱癌根治术的效价分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF89AAB9C12B4497F49CA80E2B2ECE61A19FD890DD7E2E5CCBB201677D17A0C195,潘婧儒,《中华腔镜泌尿外科杂志（电子版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zhqjmnwkzz,2018,0,0
血小板相关指标对早产儿有血流动力学意义的动脉导管未闭的早期预测价值,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFA6A39C9FEB79E1B9F74FCCB2B2173AF3DB67B5B30EFE825E,钟隽镌,《中华新生儿科杂志（中英文）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xsekzz,2018,0,9
